,Principal Component Vector Number,class1,class2
0,1,0.004054106539880804,-0.004054106539880805
1,2,0.004232322452269156,-0.004232322452269157
2,3,0.002364187124616835,-0.0023641871246168353
3,4,0.0018481028331801023,-0.0018481028331801025
4,5,0.0075495058430579565,-0.007549505843057955
5,6,0.0027705346468222926,-0.002770534646822293
6,7,0.0018244770062730634,-0.0018244770062730636
7,8,0.001746023408655762,-0.0017460234086557624
8,9,0.00442186466970494,-0.004421864669704939
9,10,0.0016641566899156508,-0.001664156689915651
10,11,0.0016806671515469246,-0.0016806671515469246
11,12,0.001999125552874398,-0.001999125552874398
12,13,0.0017312202131635115,-0.0017312202131635115
13,14,0.0015756142279608842,-0.0015756142279608842
14,15,0.00180121647276506,-0.0018012164727650595
15,16,0.0019524040466124013,-0.001952404046612401
16,17,0.001802816076831537,-0.0018028160768315373
17,18,0.001933169798518785,-0.0019331697985187836
18,19,0.0026943041723326198,-0.002694304172332619
19,20,0.00477176471148962,-0.00477176471148962
20,21,0.001495987743892041,-0.00149598774389204
21,22,0.001445275125994443,-0.0014452751259944427
22,23,0.002251101907397866,-0.002251101907397866
23,24,0.0020042635654226614,-0.002004263565422662
24,25,0.0019470033044445495,-0.0019470033044445498
25,26,0.0015920239729999043,-0.0015920239729999032
26,27,0.0018465955569604627,-0.0018465955569604638
27,28,0.0017508906699854304,-0.0017508906699854319
28,29,0.0017453975050645413,-0.0017453975050645415
29,30,0.0018992634433422453,-0.0018992634433422455
30,31,0.0017534177271810358,-0.0017534177271810378
31,32,0.0015577994729130211,-0.0015577994729130214
32,33,0.0019007178739412953,-0.0019007178739412962
33,34,0.0014121432010831257,-0.0014121432010831254
34,35,0.0027584237673693897,-0.00275842376736939
35,36,0.010680682888894255,-0.010680682888894254
36,37,0.00481659064490355,-0.004816590644903551
37,38,0.0032707147061565058,-0.003270714706156502
38,39,0.004210787215618983,-0.004210787215618984
39,40,0.008517154555699019,-0.008517154555699026
40,41,0.0054387252220724465,-0.005438725222072447
41,42,0.002304305183240328,-0.0023043051832403274
42,43,0.013848731243639858,-0.013848731243639854
43,44,0.0024329538814054047,-0.0024329538814054042
44,45,0.0019923382199744564,-0.0019923382199744577
45,46,0.002250422244578686,-0.002250422244578688
46,47,0.002394608003410082,-0.0023946080034100824
47,48,0.0032384011963965936,-0.003238401196396594
48,49,0.008031196951617664,-0.008031196951617662
49,50,0.006436554069405788,-0.00643655406940579
50,51,0.002465734813913226,-0.0024657348139132253
51,52,0.0029446322319639203,-0.0029446322319639224
52,53,0.0058056006956649165,-0.005805600695664914
